ticket_id,machine,department,dominant_signal_score,maintenance_team,issue,priority,risk_score,dominant_signal,vibration_zscore,pressure_zscore,rotate_zscore,root_cause,solution,status
1,model3_1,comp4,5,Automation,Emergency automation system instability identified on aging equipment,Critical,4.8,rotation,0.24,0.43,3.33,PLC communication instability,Verify rotational sensor consistency,Open
2,model3_1,comp1,1,Mechanical,Mechanical instability observed during operation,Medium,1.31,vibration,0.9,0.65,0.22,Mechanical imbalance,Check rotational stability,Open
3,model3_1,comp2,2,Hydraulic,Hydraulic pressure fluctuation exceeded operational tolerance,Medium,2.43,rotation,0.95,0.5,1.54,Hydraulic valve degradation,Check rotational synchronization,Open
4,model3_1,comp4,2,Automation,Critical PLC instability trend identified on aging equipment,High,3.44,pressure,0.72,1.08,1.87,PLC communication instability,Check valve stability,Open
5,model3_1,comp4,5,Automation,Severe PLC communication failure observed on aging equipment,Critical,6.03,vibration,3.46,1.2,0.15,Electrical synchronization issue,Inspect spindle bearing and lubrication system,Open
6,model3_1,comp2,1,Hydraulic,Unstable hydraulic behavior identified during operation,Medium,1.44,vibration,0.87,0.99,0.08,Hydraulic flow instability,Verify shaft balancing and alignment,Open
7,model3_1,comp4,2,Automation,Automation system anomaly detected,Medium,2.41,pressure,0.01,1.22,0.67,PLC communication instability,Verify hydraulic pump condition,Open
8,model4_2,comp1,2,Mechanical,High spindle vibration level identified,High,2.94,vibration,1.05,1.85,0.78,Lubrication degradation,Verify shaft balancing and alignment,Open
9,model4_2,comp2,2,Hydraulic,Hydraulic pressure exceeded safe operational profile,High,2.76,pressure,0.15,1.14,1.54,Hydraulic valve degradation,Inspect hydraulic pressure lines,Open
10,model4_2,comp2,2,Hydraulic,High hydraulic instability detected,High,2.91,vibration,1.26,0.83,1.71,Pressure leakage,Verify shaft balancing and alignment,Open
11,model4_2,comp2,2,Hydraulic,Hydraulic pressure exceeded safe operational profile,High,2.95,vibration,1.96,0.14,1.4,Pressure leakage,Check rotational stability,Open
12,model3_3,comp2,2,Hydraulic,Unstable hydraulic behavior identified during operation,Medium,1.91,vibration,1.13,0.09,0.31,Hydraulic valve degradation,Check rotational stability,Open
13,model3_3,comp1,2,Mechanical,Spindle oscillation exceeded operational baseline,Medium,1.89,vibration,1.1,0.49,0.35,Bearing wear,Inspect spindle bearing and lubrication system,Open
14,model3_3,comp2,1,Hydraulic,Minor hydraulic pressure fluctuation observed,Low,0.91,vibration,0.55,0.0,0.74,Hydraulic valve degradation,Check rotational stability,Open
15,model3_3,comp2,2,Hydraulic,Hydraulic pressure fluctuation exceeded operational tolerance,Medium,1.73,pressure,0.23,1.15,0.03,Hydraulic valve degradation,Check valve stability,Open
16,model3_3,comp2,2,Hydraulic,Hydraulic pressure anomaly detected,Medium,1.82,pressure,0.2,1.56,0.69,Pressure leakage,Verify hydraulic pump condition,Open
17,model3_4,comp2,3,Hydraulic,Emergency hydraulic instability identified,Critical,4.35,rotation,1.48,0.35,2.27,Hydraulic flow instability,Check rotational synchronization,Open
18,model3_4,comp1,1,Mechanical,Minor spindle vibration deviation observed,Low,0.71,vibration,0.35,0.9,0.4,Lubrication degradation,Check rotational stability,Open
19,model3_4,comp2,1,Hydraulic,Minor hydraulic pressure fluctuation observed,Low,0.89,vibration,0.51,0.49,0.7,Hydraulic valve degradation,Verify shaft balancing and alignment,Open
20,model3_4,comp2,2,Hydraulic,Hydraulic pressure fluctuation exceeded operational tolerance,Medium,1.72,pressure,0.62,1.57,0.88,Hydraulic flow instability,Verify hydraulic pump condition,Open
21,model3_4,comp1,1,Mechanical,Low-level spindle oscillation identified,Low,0.72,vibration,0.1,0.94,0.47,Bearing wear,Verify shaft balancing and alignment,Open
22,model3_4,comp2,3,Hydraulic,Hydraulic pressure exceeded safe operational profile,High,3.26,pressure,0.7,2.27,0.25,Hydraulic valve degradation,Inspect hydraulic pressure lines,Open
23,model3_5,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.67,vibration,0.15,0.48,0.26,Hydraulic valve degradation,Check rotational stability,Open
24,model3_5,comp1,2,Mechanical,Severe spindle instability detected,High,2.75,vibration,1.67,0.79,1.88,Bearing wear,Verify shaft balancing and alignment,Open
25,model3_5,comp1,4,Mechanical,High spindle vibration level identified,High,3.81,pressure,0.79,2.43,0.96,Lubrication degradation,Inspect hydraulic pressure lines,Open
26,model3_5,comp2,3,Hydraulic,Critical hydraulic pressure instability detected,Critical,4.11,pressure,1.08,2.13,0.79,Pressure leakage,Inspect hydraulic pressure lines,Open
27,model3_5,comp1,1,Mechanical,Low-level spindle oscillation identified,Low,0.89,vibration,0.22,0.8,0.43,Lubrication degradation,Verify shaft balancing and alignment,Open
28,model3_5,comp2,2,Hydraulic,Hydraulic pressure fluctuation exceeded operational tolerance,Medium,1.9,vibration,1.12,0.23,0.61,Hydraulic valve degradation,Check rotational stability,Open
29,model3_5,comp1,3,Mechanical,Critical spindle vibration anomaly detected,Critical,5.81,pressure,1.12,2.08,1.64,Mechanical imbalance,Inspect hydraulic pressure lines,Open
30,model3_7,comp2,1,Hydraulic,Hydraulic pressure anomaly detected,Medium,1.18,vibration,0.6,0.1,0.41,Pressure leakage,Check rotational stability,Open
31,model3_7,comp4,2,Automation,Automation system anomaly detected,Medium,2.37,pressure,0.28,1.95,0.76,PLC communication instability,Inspect hydraulic pressure lines,Open
32,model3_7,comp1,2,Mechanical,High-risk spindle oscillation beyond normal range on aging equipment,Critical,4.96,vibration,1.23,1.43,1.03,Bearing wear,Inspect spindle bearing and lubrication system,Open
33,model3_7,comp1,1,Mechanical,Spindle oscillation exceeded operational baseline,Medium,1.36,vibration,0.69,0.38,0.78,Lubrication degradation,Check rotational stability,Open
34,model3_7,comp4,2,Automation,PLC communication instability observed,Medium,2.44,pressure,0.61,1.42,0.43,Electrical synchronization issue,Check valve stability,Open
35,model3_7,comp2,1,Hydraulic,Unstable hydraulic behavior identified during operation,Medium,1.19,vibration,0.22,0.67,0.98,Hydraulic valve degradation,Verify shaft balancing and alignment,Open
36,model3_7,comp2,2,Hydraulic,High hydraulic instability detected on aging equipment,High,3.37,vibration,1.94,1.16,0.73,Pressure leakage,Inspect spindle bearing and lubrication system,Open
37,model3_7,comp4,1,Automation,PLC communication instability observed,Medium,1.36,vibration,0.6,0.37,0.7,Control signal degradation,Check rotational stability,Open
38,model3_7,comp2,2,Hydraulic,Unstable hydraulic behavior identified during operation,Medium,2.3,pressure,0.84,1.36,0.31,Pressure leakage,Verify hydraulic pump condition,Open
39,model3_7,comp1,3,Mechanical,Severe spindle instability detected on aging equipment,High,3.76,rotation,0.28,0.09,2.04,Lubrication degradation,Inspect rotational control subsystem,Open
40,model3_8,comp2,2,Hydraulic,Emergency hydraulic instability identified on aging equipment,Critical,4.76,vibration,1.26,1.33,1.07,Hydraulic flow instability,Inspect spindle bearing and lubrication system,Open
41,model3_8,comp4,1,Automation,Automation system anomaly detected,Medium,1.17,vibration,0.17,0.29,0.91,Electrical synchronization issue,Check rotational stability,Open
42,model3_8,comp2,2,Hydraulic,Moderate hydraulic instability observed,Medium,2.42,rotation,0.5,0.62,1.11,Hydraulic flow instability,Inspect rotational control subsystem,Open
43,model3_8,comp4,2,Automation,Industrial control synchronization instability observed on aging equipment,High,3.37,pressure,0.68,1.62,1.19,Control signal degradation,Check valve stability,Open
44,model3_8,comp4,2,Automation,Automation system anomaly detected,Medium,2.41,vibration,1.39,0.8,0.99,PLC communication instability,Verify shaft balancing and alignment,Open
45,model4_9,comp1,1,Mechanical,Low-level spindle oscillation identified,Low,0.88,vibration,0.0,0.41,0.6,Lubrication degradation,Verify shaft balancing and alignment,Open
46,model4_9,comp2,2,Hydraulic,Hydraulic pressure fluctuation exceeded operational tolerance,Medium,1.81,pressure,0.78,1.45,0.99,Hydraulic valve degradation,Verify hydraulic pump condition,Open
47,model4_9,comp1,1,Mechanical,Slight rotational instability detected,Low,0.81,vibration,0.25,0.99,0.64,Mechanical imbalance,Inspect spindle bearing and lubrication system,Open
48,model4_9,comp2,1,Hydraulic,Minor hydraulic pressure fluctuation observed,Low,0.89,vibration,0.59,0.24,0.09,Hydraulic valve degradation,Check rotational stability,Open
49,model4_9,comp2,3,Hydraulic,Critical hydraulic pressure instability detected,Critical,5.24,vibration,2.22,0.43,2.31,Pressure leakage,Verify shaft balancing and alignment,Open
50,model4_9,comp1,2,Mechanical,High spindle vibration level identified,High,2.84,pressure,0.57,1.09,1.74,Bearing wear,Inspect hydraulic pressure lines,Open
51,model4_9,comp2,4,Hydraulic,Severe hydraulic fluctuation identified,High,3.76,pressure,0.88,2.6,0.13,Pressure leakage,Verify hydraulic pump condition,Open
52,model4_9,comp1,1,Mechanical,Minor spindle vibration deviation observed,Low,0.93,vibration,0.72,0.69,0.98,Mechanical imbalance,Check rotational stability,Open
53,model4_9,comp2,1,Hydraulic,Minor hydraulic pressure fluctuation observed,Low,0.77,vibration,0.6,0.75,0.59,Hydraulic valve degradation,Inspect spindle bearing and lubrication system,Open
54,model3_10,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.69,vibration,0.63,0.49,0.84,Hydraulic valve degradation,Inspect spindle bearing and lubrication system,Open
55,model3_10,comp2,2,Hydraulic,Hydraulic pressure fluctuation exceeded operational tolerance,Medium,1.93,vibration,1.89,0.1,0.82,Hydraulic flow instability,Check rotational stability,Open
56,model3_10,comp2,2,Hydraulic,Moderate hydraulic instability observed,Medium,1.67,rotation,0.69,0.04,1.03,Hydraulic valve degradation,Check rotational synchronization,Open
57,model3_10,comp1,2,Mechanical,Mechanical instability observed during operation,Medium,1.74,vibration,1.28,0.01,0.1,Lubrication degradation,Check rotational stability,Open
58,model3_10,comp2,1,Hydraulic,Minor hydraulic pressure fluctuation observed,Low,0.69,vibration,0.72,0.77,0.32,Hydraulic flow instability,Inspect spindle bearing and lubrication system,Open
59,model2_11,comp2,2,Hydraulic,Emergency hydraulic instability identified,Critical,4.47,vibration,1.2,1.51,1.6,Pressure leakage,Inspect spindle bearing and lubrication system,Open
60,model2_11,comp3,2,Thermal,Moderate thermal instability observed,Medium,1.94,rotation,0.91,0.99,1.01,Cooling system degradation,Verify rotational sensor consistency,Open
61,model2_11,comp2,2,Hydraulic,Hydraulic pressure fluctuation exceeded operational tolerance,Medium,1.86,pressure,0.5,1.71,0.97,Pressure leakage,Verify hydraulic pump condition,Open
62,model2_11,comp3,3,Thermal,Elevated thermal instability detected,High,3.16,pressure,0.28,2.0,0.11,Cooling system degradation,Inspect hydraulic pressure lines,Open
63,model2_11,comp3,2,Thermal,Elevated thermal instability detected,High,2.82,pressure,0.41,1.53,1.16,Thermal overload,Verify hydraulic pump condition,Open
64,model2_11,comp3,2,Thermal,Emergency thermal instability detected,Critical,4.38,vibration,1.63,1.81,1.85,Cooling fan malfunction,Verify shaft balancing and alignment,Open
65,model3_12,comp1,2,Mechanical,Severe mechanical instability observed,Critical,4.35,vibration,1.15,1.41,1.02,Lubrication degradation,Verify shaft balancing and alignment,Open
66,model3_12,comp2,2,Hydraulic,Severe hydraulic fluctuation identified,High,2.9,pressure,0.09,1.17,1.11,Hydraulic valve degradation,Inspect hydraulic pressure lines,Open
67,model3_12,comp2,3,Hydraulic,Severe hydraulic fluctuation identified,High,3.25,rotation,0.4,0.46,2.18,Pressure leakage,Check rotational synchronization,Open
68,model3_12,comp1,4,Mechanical,Severe mechanical instability observed,Critical,4.82,vibration,2.76,0.82,1.52,Bearing wear,Inspect spindle bearing and lubrication system,Open
69,model3_12,comp1,1,Mechanical,Minor spindle vibration deviation observed,Low,0.68,vibration,0.36,0.12,0.6,Mechanical imbalance,Check rotational stability,Open
70,model3_12,comp2,1,Hydraulic,Minor hydraulic pressure fluctuation observed,Low,0.75,vibration,0.62,0.76,0.91,Hydraulic valve degradation,Verify shaft balancing and alignment,Open
71,model1_13,comp3,1,Thermal,Minor thermal deviation detected on motor unit,Low,0.83,vibration,0.27,0.39,0.45,Cooling system degradation,Verify shaft balancing and alignment,Open
72,model1_13,comp4,2,Automation,Industrial control synchronization instability observed,High,2.83,pressure,0.86,1.83,1.65,Control signal degradation,Check valve stability,Open
73,model1_13,comp3,2,Thermal,Moderate thermal instability observed,Medium,1.82,pressure,0.55,1.27,0.9,Cooling fan malfunction,Verify hydraulic pump condition,Open
74,model1_13,comp4,2,Automation,PLC communication instability observed,Medium,1.92,vibration,1.66,0.99,0.13,Electrical synchronization issue,Verify shaft balancing and alignment,Open
75,model1_13,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.85,vibration,0.97,0.34,0.32,Hydraulic valve degradation,Inspect spindle bearing and lubrication system,Open
76,model1_13,comp2,3,Hydraulic,Severe hydraulic operational anomaly observed,Critical,4.31,pressure,1.27,2.23,0.44,Hydraulic valve degradation,Inspect hydraulic pressure lines,Open
77,model1_13,comp1,2,Mechanical,Mechanical instability observed during operation,Medium,1.74,pressure,0.12,1.15,0.2,Lubrication degradation,Verify hydraulic pump condition,Open
78,model1_13,comp3,2,Thermal,Moderate thermal instability observed,Medium,1.81,vibration,1.79,0.92,0.78,Cooling system degradation,Check rotational stability,Open
79,model1_13,comp4,2,Automation,PLC communication instability observed,Medium,1.84,rotation,0.51,0.06,1.85,PLC communication instability,Check rotational synchronization,Open
80,model1_13,comp1,1,Mechanical,Minor spindle vibration deviation observed,Low,0.74,vibration,0.24,0.39,0.6,Bearing wear,Verify shaft balancing and alignment,Open
81,model1_13,comp4,2,Automation,PLC communication instability observed,Medium,1.66,vibration,1.33,0.11,0.51,PLC communication instability,Inspect spindle bearing and lubrication system,Open
82,model1_13,comp1,1,Mechanical,Minor spindle vibration deviation observed,Low,0.79,vibration,0.08,0.27,0.25,Bearing wear,Inspect spindle bearing and lubrication system,Open
83,model1_13,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.65,vibration,0.86,0.13,1.0,Hydraulic flow instability,Check rotational stability,Open
84,model3_14,comp2,1,Hydraulic,Slight hydraulic instability detected,Low,0.89,vibration,0.28,0.61,0.17,Hydraulic valve degradation,Check rotational stability,Open
85,model3_14,comp1,2,Mechanical,Spindle oscillation exceeded operational baseline,Medium,1.79,vibration,1.57,0.36,1.0,Mechanical imbalance,Verify shaft balancing and alignment,Open
86,model3_14,comp1,3,Mechanical,Emergency-level spindle instability identified,Critical,4.09,vibration,2.62,1.38,0.49,Mechanical imbalance,Verify shaft balancing and alignment,Open
87,model3_14,comp2,2,Hydraulic,Moderate hydraulic instability observed,Medium,1.83,pressure,0.09,1.15,0.19,Hydraulic flow instability,Check valve stability,Open
88,model3_15,comp2,2,Hydraulic,Hydraulic pressure fluctuation exceeded operational tolerance,Medium,1.93,rotation,0.98,0.99,1.4,Hydraulic flow instability,Check rotational synchronization,Open
89,model3_15,comp4,2,Automation,Automation system anomaly detected,Medium,1.85,rotation,0.66,0.02,1.18,Control signal degradation,Check rotational synchronization,Open
90,model3_15,comp1,3,Mechanical,Severe spindle instability detected,High,3.14,pressure,0.64,2.41,0.27,Mechanical imbalance,Check valve stability,Open
91,model3_15,comp1,1,Mechanical,Slight rotational instability detected,Low,0.77,vibration,0.59,0.49,0.23,Mechanical imbalance,Verify shaft balancing and alignment,Open
92,model3_15,comp2,3,Hydraulic,Critical hydraulic pressure instability detected,Critical,4.22,vibration,2.51,0.64,1.1,Pressure leakage,Check rotational stability,Open
93,model3_15,comp4,1,Automation,Minor automation instability detected,Low,0.84,vibration,0.09,0.49,0.66,PLC communication instability,Check rotational stability,Open
94,model3_15,comp4,1,Automation,Minor automation instability detected,Low,0.91,vibration,0.44,0.97,0.04,Control signal degradation,Inspect spindle bearing and lubrication system,Open
95,model1_16,comp1,2,Mechanical,Spindle oscillation exceeded operational baseline,Medium,1.92,vibration,1.41,0.1,0.49,Lubrication degradation,Verify shaft balancing and alignment,Open
96,model1_16,comp3,2,Thermal,Elevated thermal instability detected,High,2.94,vibration,1.45,0.64,1.34,Cooling fan malfunction,Inspect spindle bearing and lubrication system,Open
97,model1_16,comp1,2,Mechanical,Spindle oscillation exceeded operational baseline,Medium,1.79,pressure,0.09,1.09,0.77,Lubrication degradation,Verify hydraulic pump condition,Open
98,model1_16,comp3,2,Thermal,Elevated thermal instability detected,High,2.9,vibration,1.34,1.37,0.24,Cooling fan malfunction,Inspect spindle bearing and lubrication system,Open
99,model1_16,comp1,1,Mechanical,Slight rotational instability detected,Low,0.86,vibration,0.58,0.54,0.11,Lubrication degradation,Check rotational stability,Open
100,model1_16,comp3,2,Thermal,Moderate thermal instability observed,Medium,1.65,vibration,1.06,0.82,0.35,Cooling fan malfunction,Inspect spindle bearing and lubrication system,Open
101,model1_16,comp2,2,Hydraulic,Moderate hydraulic instability observed,Medium,1.75,vibration,1.27,0.73,0.67,Pressure leakage,Inspect spindle bearing and lubrication system,Open
102,model1_16,comp1,1,Mechanical,Minor spindle vibration deviation observed,Low,0.69,vibration,0.46,0.03,0.27,Lubrication degradation,Check rotational stability,Open
103,model1_16,comp2,2,Hydraulic,Severe hydraulic operational anomaly observed,Critical,4.31,vibration,1.6,1.61,1.44,Pressure leakage,Check rotational stability,Open
104,model1_16,comp3,2,Thermal,Moderate thermal instability observed,Medium,1.83,vibration,1.57,0.24,0.8,Thermal overload,Verify shaft balancing and alignment,Open
105,model1_16,comp3,1,Thermal,Minor thermal deviation detected on motor unit,Low,0.86,vibration,0.72,0.94,0.93,Cooling system degradation,Check rotational stability,Open
106,model1_16,comp3,2,Thermal,High thermal stress identified,High,2.76,vibration,1.98,0.46,1.43,Cooling system degradation,Inspect spindle bearing and lubrication system,Open
107,model1_16,comp2,1,Hydraulic,Minor hydraulic pressure fluctuation observed,Low,0.68,vibration,0.13,0.06,0.39,Pressure leakage,Check rotational stability,Open
108,model1_17,comp4,1,Automation,Minor automation instability detected,Low,0.91,vibration,0.17,0.18,0.09,Electrical synchronization issue,Inspect spindle bearing and lubrication system,Open
109,model1_17,comp3,1,Thermal,Minor thermal deviation detected on motor unit,Low,0.86,vibration,0.59,0.1,0.1,Thermal overload,Check rotational stability,Open
110,model1_17,comp2,2,Hydraulic,Hydraulic pressure exceeded safe operational profile,High,2.77,vibration,1.29,0.18,1.65,Hydraulic flow instability,Check rotational stability,Open
